uuid	runtime_version	version_name	metadata_sha256	original_name	pl_name
add-to-desktop@tommimon.github.com	16	-	cba7a786c60dd07fc2e78d10aaa7549527973be791db31389e08002a66c29641	Add to Desktop	Dodaj do pulpitu
advanced-media-controller@sanjai.com	31	6.5	ed5afc509700e3f0d7a158ccc1969407b44f7cbeb8ef46366eeeec2eccaa196c	Advanced Media Controller	Zaawansowany kontroler multimediów
Bluetooth-Battery-Meter@maniacx.github.com	49	-	6b288f636b5aff450cf400c5106a0eb18cf48ae5ecddb73c03989674e2246732	Bluetooth Battery Meter	Wskaźnik baterii Bluetooth
display-brightness-ddcutil@themightydeity.github.com	59	-	16c457764f6133c1627b00a8a47c77b6133cc9cc8195b439da7c7c205bd3f4b9	Brightness control using ddcutil	Sterowanie jasnością przez ddcutil
browser-switcher@totoshko88.github.io	17	-	296fb3354196bb85c61bd97c4bce537c6e12ca9453a1bfba79b4eeedf1160394	Browser Switcher	Przełącznik przeglądarki
clipboard-indicator@tudmotu.com	71	-	a6eb46bc0f6aee7703b66885b0f7569b2b4c1681bacbe12d084b6789849276eb	Clipboard Indicator	Wskaźnik schowka
ding@rastersoft.com	97	-	aab7c45ea8b5abdca21f8c17ee9a1279986525b4a078a164c04f20df677e931b	Desktop Icons NG (DING)	Ikony pulpitu NG (DING)
just-another-search-bar@xelad0m	18	-	69a7caaad33db8daaa404bd16bbcdd25b1efa871df861a43ef3d06d0a56de40c	Just Another Search Bar	Dodatkowy pasek wyszukiwania
monitorSmartSaver@pic16f877ccs.github.com	3	1.6.0	fd686d5bee381ad4b546d3047128fbfc29fae29609915028ff39535e180dd6d3	Monitor Smart Saver	Oszczędzanie energii monitora
drive-menu@gnome-shell-extensions.gcampax.github.com	82	50.4	af23a5d68f7ca8a708c5a46853b57af21298d733f96ddd7e70ad8b616bb11cc3	Removable Drive Menu	Menu nośników wymiennych
