uuid	runtime_version	source	source_ref	sha256
Bluetooth-Battery-Meter@maniacx.github.com	46	ego	-	1a46c1d25e38bf939eaca9742d5bffa1a84bf9d3dad3610c0388f55ffdca73c1
Vitals@CoreCoding.com	85	ego	-	899e5ffe27d1793cf13db069d835c11136cec816717e4e450a56f08bcf976b2f
add-to-desktop@tommimon.github.com	16	ego	-	88b98d36bd1dd4372cf922c23be7d1bb65ef9a05f7c161bfc2c9f349375ca722
advanced-media-controller@sanjai.com	31	ego	-	55b021ac4db9680d2f1d5f8b1650c5b9d4bd842e3b7c3f924da7689cb371caa0
arcmenu@arcmenu.com	73	ego	-	495504d9d1ca8de0547ff46c2dfdbaae25ef9ae184521ac9192b9b526e445bd1
blur-my-shell@aunetx	72	ego	-	4b82a0a0be4f2f917bff88e0952fab4d6c347d1128e7d8487caef240b699a910
browser-switcher@totoshko88.github.io	17	ego	-	4057dcad544f01ef5b227782f463fd78b61a21276401568c061d0ff80daf68b7
caffeine@patapon.info	60	ego	-	dd2b5962ebad4e957390522e5df539764828011032360743e77cc5940ebac955
clipboard-indicator@tudmotu.com	71	ego	-	687cb404f9540958ddb0c1de638970572cef73f22f016e5d6c6d6f5d4cd55f97
ddterm@amezin.github.com	72	ego	-	296bb07e749fbe949cdcbe84d65e686dc00ca5a9e97cbdb14e51c7af3ebe60df
ding@rastersoft.com	97	ego	-	c6c549b1f8e9cf0786290f721696b6eaba02f026165633fb520ed0f6e682a293
display-brightness-ddcutil@themightydeity.github.com	59	ego	-	be457ab7b623d51716618c250fef5c8d99417e9861518f362f3303ae1c75c9ce
drive-menu@gnome-shell-extensions.gcampax.github.com	82	ego	-	577d6f6b03272c3f237ef76e0c8b7171855430e2b567f7c3d9f5fefa14a0bec1
gsconnect@andyholmes.github.io	72	ego	-	54ae815f27e99fcc36ba38eeacd68e768db88741d72d925536fe2eb3226346e2
just-another-search-bar@xelad0m	18	ego	-	f2d87878f5548f781ced14df80a3b90328d677bf64a04a9b4625a833216d911a
just-perfection-desktop@just-perfection	37	ego	-	c54ccd627540d86e6baf06c699f624ba7d5229aedfc8b00b0dc7182c6538eda8
monitorSmartSaver@pic16f877ccs.github.com	3	ego	-	447712d167793415262fce6e3516d454315621a05f7eaf6d3651430682205ab8
space-bar@luchrioh	39	ego	-	aca3f49832ac080b7b98855c112e179301d99d35a07eb5455ff40ae5707d751f
spotlight@nin	15	ego	-	783862968f999b51eaa4fd10ca2e4747f309d64efa45db7fa580a884b2a214cd
tilingshell@ferrarodomenico.com	76	ego	-	0a9f2b26de65294f53350d74089a3dae9376642784a722e98fc8d78fcc470a35
user-theme@gnome-shell-extensions.gcampax.github.com	79	ego	-	d002bcd7d5bf780b1b943fa3617d4bc067a2174be576ec5438fcb76467390c05
dhruva@narkagni	17	github-commit	f8121f68fcef48c0324e8cd87fd30bf9a2131962	-
