uuid	runtime_version	tree_sha256
Bluetooth-Battery-Meter@maniacx.github.com	49	1ae6b077d6e46bb736bf91f137d4801b0647930665314330925032ffd59eb4c5
Vitals@CoreCoding.com	85	a7db1816ed89a1ae3e354aae7e9b59d3af83b3165ffbedde9d385c26ae2d4d63
add-to-desktop@tommimon.github.com	16	e173a69bbb8486fd069391dd6cac48a83f7394d85c337d047d7f9c4ae2d50be5
advanced-media-controller@sanjai.com	31	02adfe2b420d54f3786b110e0b100c124008a5a2e607030dc11ae82a73899a47
arcmenu@arcmenu.com	74	d89199fe6cd1da1bdc5d834532ab12aee5f7c64725ad121e038b862569ab3148
blur-my-shell@aunetx	72	ecc49d02b4d9065f848970428e2888d3275b07ae59800dd5f51dcda69b4bd7d0
browser-switcher@totoshko88.github.io	17	0bd1e7fa440fa894fe6bba29459f0b36f13ab68e0d6aa8f0591a717562bdeb75
caffeine@patapon.info	60	7fa271a643787133b5682c19224f0968593e9e020c1952094aa80bd2203297c0
clipboard-indicator@tudmotu.com	71	d5f8f7d46b4f372eac26c5f004f0a550fc9309969b3934bf111bce2937fb3ad4
ddterm@amezin.github.com	73	dbd72752dcc7687ab7a14a36ff1780f65e0b75e71245b8fa473e833b229c0d26
dhruva@narkagni	17	7a2d1f6473b0bbf1ebf35098434d68fdcf308fc0e322ea6a3c7f47e0c84d7f05
ding@rastersoft.com	97	935aa3583d2a8f0f898cf8d7bf87fd02391097d5b27ee4380ffa45b0939ff9ec
display-brightness-ddcutil@themightydeity.github.com	59	ba1e4d4d496da6788bc0950bf6cc40b2dfc87e2290abca5d22628adb389acd6a
drive-menu@gnome-shell-extensions.gcampax.github.com	82	1970282fedcc778b5419852e7be03610892889ba801c4a145a1dec649e149d51
gsconnect@andyholmes.github.io	73	1aa60d482b729a83d46f08dc4796bab3d3f9a66fe100e07fb3cdb95d21505f10
just-another-search-bar@xelad0m	18	991f12179a450131295ade9ac98f23cf8b6342ff0792cb7bc5388ec72277b218
just-perfection-desktop@just-perfection	37	3b6509cbebf36e0096309a70fefb58d945827128c33e34ed01513bdcbfb9d930
monitorSmartSaver@pic16f877ccs.github.com	3	d84d5aad41aeba41bea94538ceb7793eec570ec49ec58388b81a376d880d34af
space-bar@luchrioh	39	ba729b84b2302c0a6a89368817e892d266e5a3dbd8e10be00602c064bdc71473
spotlight@nin	15	a7a5d9c988e1484a8d09d57649e59c49730ca098797e4dce7f201a924e30c572
tilingshell@ferrarodomenico.com	76	83a96dbc55774f43dadae5b988063ebb9c03e49fc9b5d92a0f5566dbb76fd53c
user-theme@gnome-shell-extensions.gcampax.github.com	79	fe416a5c49f9ecdb00a2758a4f552feba34d69a61a55eb9b545d8f7ffe627414
